,lyrics,isBad
0,腿 搁在办公桌上,0
1,这五六分钟我只关心说唱,0
2,大脑像硬币投进的湖里的波浪激荡,0
3,如果你们智商170和我一样,0
4,耳边的铃铛 晶晶亮 轻轻唱 interesting的声音记在了心上,0
5,倒掉这鸡汤 错的路走几趟 开心难过换来换去像是在打乒乓,0
6,叮当猫口袋里频临乓啷在响 不像一无所有的人只好拿出了抢,0
7,bang bang 什么东西不能用道理讲 man down 谁站出来说他还有理想,0
8,这景象 让我联想 我的思路像是蜻蜓 在飞行 听不到你演讲,0
9,我拼命地前行 不断遇到瓶颈 全程保持清醒 时刻准备面对劲敌,0
10,把事情办到 懒得跟你探讨 省着我的弹药 不叽叽喳喳,0
11,嘻嘻哈哈 爸爸妈妈不喜欢嘻哈 不喜欢我说脏话,0
12,但脏话的背后是真实的揭露 跟上这节奏和生活邂逅,0
13,关于这个时空 维度不只时钟 做了一个梦里碰到一个神对那个秘密精通,0
14,群居动物 韵律和音乐 所以人都会孤独 革命和鲜血,0
15,千真万确的不千真万确 欢迎来到这个不确定的世界,0
16,不相信这一切 是全部的一切 渴望真相的心特别炽烈,0
17,尽管早晚 都会凋谢 尽管没有希望还是要去了解,0
18,所有的 理由,0
19,所有的 低头,0
20,所有的 意犹 未尽,0
21,所有的 垂头 丧气,0
22,像zombie 下象棋 趁你情敌 把你将军,0
23,所有的输赢 在刹那的决定,0
24,所有的决定 都是注定,0
25,所有的fans跟着伴奏 穿着yoga pants来战斗,0
26,女孩都爱Chuck Zigga Jiang他的汗臭 XZT渐快渐慢的flow,0
27,让你颤抖,0
28,Hype it up hates怕 倒吸口冷气 把我们比作了2 pac and biggie,0
29,Feezy这场休息 看场好戏 SFG在夏季的ending迎来新的胜利,0
30,iPhone7 能防水不怕他们pussy get wetter,0
31,我比你厉害但我不consider you any lesser,0
32,海尔兄弟上了pigeons&planes 全世界都听到中国嘻哈,0
33,奥运会上傅园慧告诉全世界她那天来了大姨夫,0
34,yeezy要卖桌子你们不是队要排到那一家宜家,0
35,70万的listen 还要怪直火帮出钱买了网易吗,0
36,有点痛又叫的我的耳膜有点懵,0
37,洋迷她 电影我一部都没看过也不知她到底整没整容,0
38,长期假 然后实在假不下去了直接注销微信以为还能玩失踪,0
42,所有的 理由,0
43,所有的 低头,0
44,所有的 意犹 未尽,0
45,所有的 垂头 丧气,0
46,像zombie 下象棋 趁你轻敌 把你将军,0
47,所有的输赢 在刹那的决定,0
48,所有的决定 都是注定,0
49,所有的fans跟着伴奏 穿着yoga pants来战斗,0
50,女孩都爱Chuck Zigga Jiang他的汗臭 XZT渐快渐慢的flow,0
51,让你颤抖,0
52,Hype it up hates怕 倒吸口冷气 把我们比作了2 pac and biggie,0
53,Feezy这场休息 看场好戏 SFG在夏季的ending迎来新的胜利,0
54,我只想笑着 把生活当做一场游戏,0
55,下次遇到你会是第几个月的星期几,0
56,我不会像曾经一样为别人而脱衣,0
57,我丢失了棉被,0
58,能换回几个枕头,0
59,就算荣华富贵,0
60,也没法隔夜仇,0
61,感谢用心教育深刻教训 让我完全蜕变,0
62,没法睡 not on the track,0
63,害怕没人能满足你想要的滋味,0
64,何况你心那么脆,0
65,那位枪手目标定格了 两点一线,0
66,有些话在说出口之前需要面对面,0
67,时间改正我的善变面对你不是演员,0
68,最好的弥补暗地陪在你身边 多花时间,0
69,don’t worry第二个保护你的我在床前,0
70,don’t worry给我机会才能满足你心愿,0
71,don’t worry别把我推倒你世界边缘,0
72,不想看到 那个他牵你的手 搭你的肩,0
73,我想做你 特别的人 特别的事 特别的他,0
74,我想给你 特别的家 特别的花 去特别的pa,0
75,说真的你是特别的你 在成都带不走的 也只有你,0
76,我只想笑着 把生活当做一场游戏,0
77,下次遇到你会是第几个月的星期几,0
78,我不会像曾经一样为别人而脱衣,0
79,我丢失了棉被,0
80,能换回几个枕头,0
81,就算荣华富贵,0
82,也没法隔夜仇,0
83,记忆深刻美丽的回想 别当做过去,0
84,可能我选择喧嚣 你喜欢静谧,0
85,我会拼命哈艘给予最好并不选择放弃,0
86,我会努力,0
87,这样你才能靠我肩膀,0
88,我会努力,0
89,才能创造我的乐器厂,0
90,我在虚幻的梦里 等待小仙女的降临,0
91,不用讲什么道理 岁数这些不是问题,0
92,护花是我的使命 骗过许多的少女,0
93,对你说声对不起 要怪 怪这短暂的生命,0
94,我想和你去海滩 看心急如焚的鲨鱼,0
95,去逛逛街头灯火阑珊 再和你去吃路边摊,0
96,都怪我趁虚而入 让画风格格不入,0
97,从南到北的路 你给了我最后归宿,0
98,当我知道以后陪我不是你,0
99,我只想笑着 把生活当做一场游戏,0
100,下次遇到你会是第几个月的星期几,0
101,我不会像曾经一样为别人而脱衣,0
102,我丢失了棉被,0
103,无能为力,0
104,让心休假也不收下你,0
105,我可以彻夜不归交我想交的朋友,0
106,把你相框移开摆满我最爱喝的红酒,0
107,在家里开趴night till the morning,0
108,讲真的没有你生活也不会boring,0
109,我再也不会优柔寡断处理关系若即若离,0
110,让你成为我人生满分答卷的一道错题,0
111,自从你走以后,0
112,还赖着不肯离开的回忆gets old,0
113,我只在乎我自己过的开心与否,0
114,与酒与你都无关,0
115,没有遗憾 我总得向前走,0
116,这故事中有一段 是你和我联手,0
119,因为太繁华的夜晚让你整晚都无法入眠,0
120,你不想昙花一现就和梦境说再见,0
121,自信是你的行李,0
122,让你定义概念,0
123,你从未放弃,0
124,在每个难眠的夜,0
125,你还在途中,0
126,但现在你不再孤单,0
127,你需要FRESH TAPE,0
128,陪伴你整个夜晚,0
129,红黄绿三种颜色,0
130,你知道什么是代表前进,0
131,竭尽你所能重生在这绝境,0
132,就是我存在的证据,0
133,有你们在我飞行脱离重力,0
134,这首歌给我兄弟,0
135,要重情重义,0
136,终于可以在这给你动力,0
143,黎明的黑暗,0
144,让你觉得孤单,0
145,黑暗的一切,0
146,让自信生灵涂炭,0
147,我还在唱,0
148,我想我也可以更棒,0
149,就算是没人在听我也可以配唱,0
150,如果在生命开始时让我再次选择,0
151,我一样坚持我的音乐我的饶舌,0
152,一样叫YJ,0
153,让loser往后排队,0
154,你一样可以做到,0
155,做你自己才对,0
170,当你感到累了觉得无力感到困,0
171,当你不再愿意相信别人只有恨,0
172,我只能怀疑,0
173,你是不是个real man,0
174,我想你仔细看看面前这个real friend,0
175,他比你更倒霉,0
176,比你更值得去憎恨,0
177,他过去稚嫩但现在更想认真,0
178,伤口不会消除,0
179,它只会更深,0
180,但微笑可以保持,0
181,比曾经更真,0
198,Verse 1 泥鳅,0
199,你是否感觉到寒冷 他们都对你残忍,0
200,都是凡人 得不到上帝的蓝本,0
201,总有人觉得自己是完人落入凡尘,0
202,把你当传人 传教你怎么走出寒门,0
203,你可以说你从来不为得到谁的认可,0
204,但从来不是你自己来区分败者胜者,0
205,真的认了 不会再费力呼喊 这英雄孤胆,0
206,布满 陷阱要过该怎么铺满,0
208,手指手势 都在仇视丑事 无论投资投食 ok goes both,0
210,都有深度 都深入 撑住利益的分布,0
212,我经历太早但我精力太好,0
213,我心地太好但不轻易败倒,0
214,说唱用的是嘴巴不是链子,0
215,没有链子 没有限制 只有偏执 只有面子,0
216,说要看清楚自己但是你的镜头前置,0
220,电视随便放什么我要看到现实,0
221,不当骗子 长好见识 棺材里的歌不变质,0
222,我的手里放块冰 高烧着脑门爆青筋,0
223,汗滴禾下土 疑是窗前的星星,0
224,体温三十八度七 时速二百一十一,0
225,右脚踩下油门 引擎温度超金星,0
226,你提问“到哪里去 我们故事在哪里叙,0
227,今夜同好在哪里聚 几星级的礼遇”,0
228,我举手打住你 飙着肾上腺素 烧卡路里,0
229,过弯太急都没注意 身后已有警灯亮起,0
